lecture_name,config_name,exponential_scaling,confidence_boost,context_similarity,sentence_length,accuracy,correct,evaluated,mae,rmse,time,status
computer_vision_2_2,All Features,True,True,True,True,0.925,74,80,0.075,0.27386127875258304,16.297827005386353,success
computer_vision_2_2,No Exponential Scaling,False,True,True,True,0.925,74,80,0.075,0.27386127875258304,0.006815433502197266,success
computer_vision_2_2,No Confidence Boost,True,False,True,True,0.925,74,80,0.075,0.27386127875258304,0.006654262542724609,success
computer_vision_2_2,No Context Similarity,True,True,False,True,0.925,74,80,0.075,0.27386127875258304,0.0046079158782958984,success
computer_vision_2_2,No Sentence Length Filter,True,True,True,False,0.925,74,80,0.075,0.27386127875258304,0.006694316864013672,success
computer_vision_2_2,No Features,False,False,False,False,0.925,74,80,0.075,0.27386127875258304,0.004523038864135742,success
creating_breakthrough_products,All Features,True,True,True,True,0.9311740890688259,230,247,0.0728744939271255,0.2845551966122361,34.6328809261322,success
creating_breakthrough_products,No Exponential Scaling,False,True,True,True,0.9311740890688259,230,247,0.0728744939271255,0.2845551966122361,0.05352640151977539,success
creating_breakthrough_products,No Confidence Boost,True,False,True,True,0.8987854251012146,222,247,0.11740890688259109,0.3870369114828745,0.05348014831542969,success
creating_breakthrough_products,No Context Similarity,True,True,False,True,0.9311740890688259,230,247,0.0728744939271255,0.2845551966122361,0.03627777099609375,success
creating_breakthrough_products,No Sentence Length Filter,True,True,True,False,0.9311740890688259,230,247,0.0728744939271255,0.2845551966122361,0.054097652435302734,success
creating_breakthrough_products,No Features,False,False,False,False,0.8987854251012146,222,247,0.11740890688259109,0.3870369114828745,0.036038875579833984,success
deeplearning,All Features,True,True,True,True,0.9257294429708223,349,377,0.09283819628647215,0.3605183418372233,43.656341552734375,success
deeplearning,No Exponential Scaling,False,True,True,True,0.9204244031830239,347,377,0.09814323607427056,0.36780227648678226,0.032846689224243164,success
deeplearning,No Confidence Boost,True,False,True,True,0.9363395225464191,353,377,0.08222811671087533,0.34549007977865903,0.032778024673461914,success
deeplearning,No Context Similarity,True,True,False,True,0.9230769230769231,348,377,0.09549071618037135,0.3641785203646149,0.02165675163269043,success
